"YEAR","MONTH","DAY","STID","TMAX","TMIN","HAVG","WSMX","WSMN","RAIN","SAVG"
2016,2,20,NRMN,82.60,53.65,59.51,15.35,0.47,0.00,56.19
2016,2,20,TISH,78.10,59.94,81.65,19.91,1.84,0.00,59.93
2016,2,20,TULN,-996.00,-996.00,72.38,16.27,1.49,0.00,53.77
2016,2,21,ALTU,63.79,48.31,51.95,24.32,5.03,0.00,53.79
2016,2,21,BEAV,59.92,33.01,50.11,18.77,0.03,0.00,49.56
2016,2,21,NRMN,64.92,48.38,57.32,19.37,0.09,0.00,54.40
2016,2,21,TISH,67.41,54.95,72.45,18.70,1.17,0.00,58.47
2016,2,21,TULN,-996.00,-996.00,58.21,15.42,1.47,0.00,54.56
2016,2,22,ALTU,58.50,30.78,55.69,19.19,1.78,-999.00,51.20
2016,2,22,BEAV,58.44,22.96,55.49,15.33,0.72,0.00,47.78
2016,2,22,NRMN,61.41,38.15,46.60,16.37,3.96,0.00,52.16
2016,2,22,TISH,65.12,44.60,49.97,18.45,3.51,0.01,55.90
2016,2,22,TULN,-996.00,-996.00,57.07,11.62,1.98,0.00,51.91
2016,2,23,ALTU,48.06,35.70,82.33,26.93,2.39,-999.00,50.34
2016,2,23,BEAV,52.03,25.90,58.96,26.13,3.28,0.04,47.30
2016,2,23,NRMN,50.20,39.60,84.64,25.23,5.18,0.83,49.66
2016,2,23,TISH,48.85,38.94,91.58,33.55,6.08,1.24,50.11
2016,2,23,TULN,46.51,39.00,85.15,19.04,3.59,0.58,49.75
2016,2,24,ALTU,62.28,29.69,60.58,17.80,4.03,-999.00,48.80
2016,2,24,BEAV,61.39,21.44,40.09,20.45,2.41,0.00,44.50
2016,2,24,NRMN,58.35,33.79,48.90,21.97,1.81,0.00,47.36
2016,2,24,TISH,56.32,36.14,58.04,22.70,1.05,0.00,47.53
2016,2,24,TULN,54.81,34.65,54.07,18.90,0.00,0.00,47.56
2016,2,25,ALTU,53.76,30.91,50.41,21.23,0.94,-999.00,49.05
2016,2,25,BEAV,50.38,20.41,41.94,17.20,1.44,0.00,44.11
2016,2,25,NRMN,49.87,29.91,48.85,21.72,0.00,0.00,46.72
2016,2,25,TISH,51.82,29.32,50.15,18.01,3.33,0.00,46.65
2016,2,25,TULN,50.49,31.99,52.96,15.45,1.63,0.00,46.35
2016,2,26,ALTU,64.83,26.31,64.15,19.89,0.07,-999.00,47.69
2016,2,26,BEAV,67.86,23.26,36.57,20.29,0.11,0.00,44.40
2016,2,26,NRMN,59.97,23.73,54.37,17.22,0.00,0.00,45.41
2016,2,26,TISH,58.96,22.13,62.84,13.33,0.05,0.00,45.94
2016,2,26,TULN,60.62,27.47,49.85,16.11,0.64,0.00,45.49
2016,2,27,ALTU,72.10,32.51,62.05,22.93,0.07,0.00,49.09
2016,2,27,BEAV,79.20,21.93,38.48,28.95,0.19,0.00,46.27
2016,2,27,NRMN,71.89,34.41,49.54,19.06,1.51,0.00,47.78
2016,2,27,TISH,70.66,30.04,61.56,18.81,0.00,0.00,49.04
2016,2,27,TULN,75.31,39.73,41.53,18.41,1.76,0.00,47.98
2016,2,28,ALTU,76.48,44.95,55.14,21.56,2.36,0.00,52.27
2016,2,28,BEAV,67.98,34.85,31.89,30.15,0.01,0.00,49.69
2016,2,28,NRMN,72.86,46.74,48.56,20.94,0.00,0.00,51.32
