"YEAR","MONTH","DAY","STID","TMAX","TMIN"
2016,2,28,BEAV,67.98,34.85
2016,2,28,BOIS,62.06,35.14
2016,2,28,CENT,75.61,51.04
2016,2,28,NRMN,72.86,46.74
2016,2,28,STIL,72.90,40.07
2016,2,28,TISH,74.16,51.49
2016,2,28,TULN,74.93,50.45
2016,2,28,WOOD,69.53,44.76
2016,2,29,ARD2,75.67,43.04
2016,2,29,BEAV,77.88,31.08
2016,2,29,BOIS,70.81,33.36
2016,2,29,CENT,75.34,34.50
2016,2,29,NRMN,75.07,41.83
2016,2,29,STIL,76.41,30.08
2016,2,29,TISH,74.05,42.85
2016,2,29,TULN,74.21,38.10
2016,2,29,WOOD,75.43,44.12
2016,3,1,ARD2,65.55,43.31
2016,3,1,BEAV,60.40,30.36
2016,3,1,BOIS,56.03,30.22
2016,3,1,CENT,62.11,37.38
2016,3,1,NRMN,57.92,39.31
2016,3,1,STIL,59.94,32.00
2016,3,1,TISH,63.43,37.91
2016,3,1,TULN,59.32,40.83
2016,3,1,WOOD,59.70,35.65
2016,3,2,ARD2,68.05,37.86
2016,3,2,BEAV,76.93,36.04
2016,3,2,BOIS,77.16,29.79
2016,3,2,CENT,66.83,34.30
2016,3,2,NRMN,67.62,40.09
2016,3,2,STIL,69.08,31.15
2016,3,2,TISH,66.67,33.14
2016,3,2,TULN,66.11,35.68
2016,3,2,WOOD,70.83,40.25
2016,3,3,ARD2,65.61,44.22
2016,3,3,BEAV,64.31,34.29
2016,3,3,BOIS,61.45,31.09
2016,3,3,CENT,66.27,38.76
2016,3,3,NRMN,63.61,40.74
2016,3,3,STIL,63.07,36.65
2016,3,3,TISH,65.77,38.33
2016,3,3,TULN,64.47,44.25
2016,3,3,WOOD,64.63,41.96
2016,3,4,ARD2,70.23,36.01
2016,3,4,BEAV,73.26,37.83
2016,3,4,BOIS,72.00,35.31
2016,3,4,CENT,70.88,33.24
2016,3,4,NRMN,71.40,35.97
2016,3,4,STIL,72.82,29.89
2016,3,4,TISH,69.42,33.20
2016,3,4,TULN,71.73,37.01
2016,3,4,WOOD,77.07,40.02
2016,3,5,ARD2,75.20,40.68
2016,3,5,BEAV,72.09,27.24
2016,3,5,BOIS,66.42,25.24
2016,3,5,CENT,75.94,38.36
2016,3,5,NRMN,74.66,38.47
2016,3,5,STIL,73.54,35.13
2016,3,5,TISH,74.61,38.40
2016,3,5,TULN,73.22,43.80
2016,3,5,WOOD,69.87,37.23
2016,3,6,ARD2,72.59,53.60
2016,3,6,BEAV,82.15,52.66
2016,3,6,BOIS,73.47,40.95
2016,3,6,CENT,73.51,46.42
2016,3,6,NRMN,71.04,52.21
2016,3,6,STIL,73.74,46.03
2016,3,6,TISH,71.87,45.92
2016,3,6,TULN,74.71,48.42
2016,3,6,WOOD,75.87,53.47
2016,3,7,ARD2,65.52,57.52
2016,3,7,BEAV,79.09,49.19
2016,3,7,BOIS,70.65,33.25
2016,3,7,CENT,66.11,59.16
2016,3,7,NRMN,64.27,58.89
2016,3,7,STIL,67.23,62.46
2016,3,7,TISH,63.70,57.45
2016,3,7,TULN,68.61,58.93
2016,3,7,WOOD,78.08,59.13
2016,3,8,ARD2,62.40,54.90
2016,3,8,BEAV,62.02,38.82
2016,3,8,BOIS,58.32,30.09
2016,3,8,CENT,63.10,55.78
2016,3,8,NRMN,64.63,52.16
2016,3,8,STIL,62.98,50.00
2016,3,8,TISH,62.17,54.34
2016,3,8,TULN,62.47,54.46
2016,3,8,WOOD,63.41,46.58
2016,3,9,ARD2,61.20,52.16
2016,3,9,BEAV,66.69,29.85
2016,3,9,BOIS,63.66,25.12
2016,3,9,CENT,62.65,53.01
2016,3,9,NRMN,-996.00,-996.00
2016,3,9,STIL,61.86,48.87
2016,3,9,TISH,60.37,53.17
2016,3,9,TULN,61.34,51.26
2016,3,9,WOOD,64.26,40.53
2016,3,10,ARD2,63.34,56.84
2016,3,10,BEAV,71.40,31.60
2016,3,10,BOIS,64.76,32.07
2016,3,10,CENT,63.61,57.07
2016,3,10,NRMN,68.83,54.36
2016,3,10,STIL,69.08,46.09
